Date Sampled,Substrate,Rep,doy,OD,area
9/15/2017,H,B,258,0.159,16
9/15/2017,H,C,258,0.0777,16
9/15/2017,So,A,258,0.073,16
9/15/2017,So,B,258,0.0597,16
9/15/2017,So,C,258,0.1037,16
9/15/2017,Sh,A,258,0.0837,16
9/15/2017,Sh,B,258,0.0943,16
9/15/2017,Sh,C,258,0.0827,16
9/15/2017,F,A,258,0.133,16
9/15/2017,F,B,258,0.1627,16
9/15/2017,F,C,258,0.2983,16
9/15/2017,T,A,258,0.1643,20.25
9/15/2017,T,B,258,0.2027,20.25
9/15/2017,T,C,258,0.4197,20.25
